video_id,event_frame,predicted_track_id,second_track_id,pipeline_flagged_ambiguous,verdict,notes
Header_h1,173,75,67.0,False,correct,
Header_h1,233,8,116.0,False,correct,
Header_h101,127,583,531.0,False,ambiguous,
Header_h106,179,1433,1415.0,False,correct,
Header_h26,287,3513,,False,correct,
Header_h28,288,3738,3676.0,False,correct,
Header_h31,19,4247,4248.0,False,correct,
Header_h31,176,4304,4292.0,False,correct,
Header_h35,47,5085,5097.0,False,correct,
Header_h35,158,5160,5165.0,False,correct,
Header_h35,270,5160,5164.0,False,correct,
Header_h37,105,5476,5473.0,False,ambiguous,
Header_h37,352,5649,5638.0,False,correct,
Header_h37,440,5647,5750.0,False,correct,
Header_h42,263,6998,6997.0,False,ambiguous,
Header_h42,272,6896,6973.0,False,ambiguous,
Header_h45,234,7687,7667.0,False,ambiguous,
Header_h47,161,8404,8365.0,False,correct,
Header_h47,260,8502,8518.0,False,correct,
Header_h47,321,8572,8562.0,False,correct,
Header_h49,116,8896,8952.0,False,correct,
Header_h49,218,8945,8990.0,False,correct,
Header_h49,264,9092,8990.0,False,ambiguous,"goalkeeper catching with hands, questionable header classification"
Header_h49,355,8990,9092.0,False,ambiguous,
Header_h60,59,11766,11754.0,False,ambiguous,
Header_h60,67,11766,11754.0,False,ambiguous,
Header_h67,15,13122,13119.0,False,correct,
Header_h67,137,13258,13239.0,False,correct,
Header_h72,111,14279,14181.0,False,correct,
Header_h72,117,14279,14181.0,False,correct,
Header_h72,190,14305,14181.0,False,ambiguous,
Header_h73,10,14419,14418.0,False,incorrect,"appears to be leg/foot contact, not head"
Header_h73,19,14418,14375.0,False,correct,
Header_h73,112,14486,14492.0,False,ambiguous,
Header_h74,38,14576,14633.0,False,correct,
Header_h74,110,14661,14644.0,False,correct,
Header_h74,125,14646,14669.0,False,correct,
Header_h74,131,14669,14652.0,False,correct,
Header_h76,173,14962,15004.0,False,correct,
Header_h76,204,14979,14962.0,False,ambiguous,
Header_h76,213,14979,,False,ambiguous,
Header_h77,75,15149,15179.0,False,ambiguous,
Header_h80,211,15838,15740.0,False,ambiguous,
Header_h81,15,15914,,False,incorrect,"broadcast close-up reaction shot, likely non-gameplay frame"
Header_h81,179,16049,16043.0,False,correct,
Header_h81,258,16038,16106.0,False,ambiguous,
Header_h83,56,16337,16315.0,True,ambiguous,
Header_h84,150,16479,16481.0,False,correct,
Header_h86,197,16969,16959.0,False,correct,
Header_h88,47,17245,17263.0,False,correct,
Header_h88,60,17263,17228.0,False,correct,
Header_h88,281,17392,17391.0,False,correct,
Header_h88,288,17391,17382.0,False,correct,
Header_h91,93,17727,17734.0,False,ambiguous,
Header_h94,74,18084,18024.0,False,correct,
Header_h94,145,18084,18105.0,False,correct,
Header_h94,197,18084,18043.0,False,correct,
Header_h94,226,18139,18116.0,False,correct,
Header_h97,211,18474,18515.0,False,ambiguous,
Header_h97,247,18554,18475.0,False,ambiguous,
Header_h99,179,18705,18707.0,False,correct,
Header_h99,200,18709,18707.0,False,ambiguous,
Header_h99,206,18709,18705.0,False,ambiguous,
Header_h99,236,18721,18709.0,False,correct,
Header_h99,243,18721,18709.0,False,correct,
Non_Header_h102,455,19598,19657.0,False,incorrect,
Non_Header_h102,525,19719,19828.0,False,incorrect,
Non_Header_h102,539,19719,19828.0,False,incorrect,
Non_Header_h20,219,21489,,False,incorrect,"broadcast close-up shot, no ball visible"
Non_Header_h3,455,23181,23173.0,False,incorrect,
Non_Header_h37,556,24949,24960.0,False,incorrect,"broadcast close-up shot, no ball visible"
Non_Header_h47,403,27140,27110.0,False,incorrect,
Non_Header_h47,444,27140,27139.0,False,incorrect,
Non_Header_h5,59,27805,27825.0,False,incorrect,
Non_Header_h53,391,29111,28917.0,False,incorrect,
Non_Header_h57,18,30164,29942.0,False,incorrect,
Non_Header_h59,169,30500,30611.0,False,incorrect,
Non_Header_h6,136,30909,,False,incorrect,broadcast close-up reaction shot (player touching own face)
Non_Header_h7,478,33601,33541.0,False,incorrect,
Non_Header_h70,509,33871,33942.0,False,incorrect,
Non_Header_h70,529,33939,33871.0,False,incorrect,
Non_Header_h71,64,34004,,False,incorrect,"goal celebration, no ball near head"
Non_Header_h71,70,34004,,False,incorrect,"goal celebration, no ball near head"
